name,park_name,park_link,sq,park_lat,park_long
Якиманка,Парк культуры им. Горького,https://ru.wikipedia.org//wiki/%D0%A6%D0%B5%D0%BD%D1%82%D1%80%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%B9_%D0%BF%D0%B0%D1%80%D0%BA_%D0%BA%D1%83%D0%BB%D1%8C%D1%82%D1%83%D1%80%D1%8B_%D0%B8_%D0%BE%D1%82%D0%B4%D1%8B%D1%85%D0%B0_%D0%B8%D0%BC._%D0%93%D0%BE%D1%80%D1%8C%D0%BA%D0%BE%D0%B3%D0%BE_(%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0),100,55.7311694,37.6031972
Якиманка,Нескучный сад,https://ru.wikipedia.org//wiki/%D0%9D%D0%B5%D1%81%D0%BA%D1%83%D1%87%D0%BD%D1%8B%D0%B9_%D1%81%D0%B0%D0%B4,"59,3",55.71611,37.58806
Аэропорт,Петровский парк,https://ru.wikipedia.org//wiki/%D0%9F%D0%B5%D1%82%D1%80%D0%BE%D0%B2%D1%81%D0%BA%D0%B8%D0%B9_%D0%BF%D0%B0%D1%80%D0%BA_(%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0),22,55.7933917,37.5562056
Бескудниковский,Парк имени Святослава Фёдорова,https://ru.wikipedia.org//wiki/%D0%9F%D0%B0%D1%80%D0%BA_%D0%B8%D0%BC%D0%B5%D0%BD%D0%B8_%D0%A1%D0%B2%D1%8F%D1%82%D0%BE%D1%81%D0%BB%D0%B0%D0%B2%D0%B0_%D0%A4%D1%91%D0%B4%D0%BE%D1%80%D0%BE%D0%B2%D0%B0,"16,7",55.865,37.55
Войковский,Парк имени Воровского,https://ru.wikipedia.org//wiki/%D0%9F%D0%B0%D1%80%D0%BA_%D0%B8%D0%BC%D0%B5%D0%BD%D0%B8_%D0%92%D0%BE%D1%80%D0%BE%D0%B2%D1%81%D0%BA%D0%BE%D0%B3%D0%BE,"8,2",55.819778,37.5016167
Восточное Дегунино,Парк «Северные Дубки»,https://ru.wikipedia.org//wiki/%D0%A1%D0%B5%D0%B2%D0%B5%D1%80%D0%BD%D1%8B%D0%B5_%D0%94%D1%83%D0%B1%D0%BA%D0%B8,"8,4",55.88889,37.565
Дмитровский,Парк «Дмитровский»,https://ru.wikipedia.org//wiki/%D0%9F%D0%B0%D1%80%D0%BA_%C2%AB%D0%94%D0%BC%D0%B8%D1%82%D1%80%D0%BE%D0%B2%D1%81%D0%BA%D0%B8%D0%B9%C2%BB,,55.8783,37.53
Дмитровский,Парк «Вагоноремонт»,https://ru.wikipedia.org//wiki/%D0%9F%D0%B0%D1%80%D0%BA_%C2%AB%D0%92%D0%B0%D0%B3%D0%BE%D0%BD%D0%BE%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82%C2%BB,"9,61",55.88778,37.53167
Дмитровский,Ангарские пруды,https://ru.wikipedia.org//wiki/%D0%90%D0%BD%D0%B3%D0%B0%D1%80%D1%81%D0%BA%D0%B8%D0%B5_%D0%BF%D1%80%D1%83%D0%B4%D1%8B,"45,7",55.88,37.53111
Левобережный,Парк Северного речного вокзала,https://ru.wikipedia.org//wiki/%D0%9F%D0%B0%D1%80%D0%BA_%D0%A1%D0%B5%D0%B2%D0%B5%D1%80%D0%BD%D0%BE%D0%B3%D0%BE_%D1%80%D0%B5%D1%87%D0%BD%D0%BE%D0%B3%D0%BE_%D0%B2%D0%BE%D0%BA%D0%B7%D0%B0%D0%BB%D0%B0,"40,8",55.8515972,37.4694861
Левобережный,Парк Дружбы,https://ru.wikipedia.org//wiki/%D0%9F%D0%B0%D1%80%D0%BA_%D0%94%D1%80%D1%83%D0%B6%D0%B1%D1%8B,51,55.85306,37.48056
Сокол,Мемориальный парк,https://ru.wikipedia.org//wiki/%D0%9C%D0%B5%D0%BC%D0%BE%D1%80%D0%B8%D0%B0%D0%BB%D1%8C%D0%BD%D0%BE-%D0%BF%D0%B0%D1%80%D0%BA%D0%BE%D0%B2%D1%8B%D0%B9_%D0%BA%D0%BE%D0%BC%D0%BF%D0%BB%D0%B5%D0%BA%D1%81_%D0%B3%D0%B5%D1%80%D0%BE%D0%B5%D0%B2_%D0%9F%D0%B5%D1%80%D0%B2%D0%BE%D0%B9_%D0%BC%D0%B8%D1%80%D0%BE%D0%B2%D0%BE%D0%B9_%D0%B2%D0%BE%D0%B9%D0%BD%D1%8B,"11,2",55.79972,37.512556
Тимирязевский,Тимирязевский парк,https://ru.wikipedia.org//wiki/%D0%A2%D0%B8%D0%BC%D0%B8%D1%80%D1%8F%D0%B7%D0%B5%D0%B2%D1%81%D0%BA%D0%B8%D0%B9_%D0%BF%D0%B0%D1%80%D0%BA,232,55.819,37.545
